title,price_inr
Please Kill Me: The Uncensored Oral History of Punk,3290.545
The Raven King (The Raven Cycle #4),3225.135
Frostbite (Vampire Academy #2),3163.9449999999997
Island of Dragons (Unwanteds #7),3128.075
"The Land of 10,000 Madonnas",3127.02
The Odyssey,3127.02
The Mirror & the Maze (The Wrath and the Dawn #1.5),3099.5899999999997
"Shobu Samurai, Project Aryoku (#3)",3065.83
Origins (Alphas 0.5),3058.4449999999997
South of Sunshine,3052.115
Burning,3039.455
Forever Rockers (The Rocker #12),3038.4
Like Never Before (Walker Family #2),3035.235
Modern Romance,2981.4300000000003
A Fierce and Subtle Poison,2967.7149999999997
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",2963.495
The Haters,2942.395
This Is Where It Ends,2861.1600000000003
The Midnight Watch: A Novel of the Titanic and the Californian,2764.1
Cinder (The Lunar Chronicles #1),2752.495
The White Queen (The Cousins' War #1),2733.505
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,2718.735
"Saga, Volume 6 (Saga (Collected Editions) #6)",2639.61
Lord of the Flies,2625.895
Soldier (Talon #3),2607.96
The Catcher in the Rye,2590.025
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),2549.9350000000004
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",2520.395
Lola and the Boy Next Door (Anna and the French Kiss #2),2492.9649999999997
The Requiem Red,2389.575
Find Her (Detective D.D. Warren #8),2360.0350000000003
Code Name Verity (Code Name Verity #1),2334.7149999999997
"The End of Faith: Religion, Terror, and the Future of Reason",2334.7149999999997
Ash,2327.33
Shadow Rites (Jane Yellowrock #10),2291.46
Fire Bound (Sea Haven/Sisters of the Heart #5),2245.04
Boy Meets Boy,2228.1600000000003
Redeeming Love,2159.585
Cell,2140.595
Team of Rivals: The Political Genius of Abraham Lincoln,2122.6600000000003
No One Here Gets Out Alive,2112.11
Pride and Prejudice,2032.985
Dark Notes,2024.545
The Torch Is Passed: A Harding Family Story,2013.995
Unicorn Tracks,1981.2900000000002
The Golden Compass (His Dark Materials #1),1980.235
Love Is a Mix Tape (Music #1),1902.1650000000002
Counted With the Stars (Out from Egypt #1),1895.8349999999998
Set Me Free,1842.0300000000002
A Feast for Crows (A Song of Ice and Fire #4),1815.6550000000002
The Glass Castle,1713.32
The Iliad,1704.88
One with You (Crossfire #5),1657.4050000000002
Kill the Boy Band,1637.36
Obsidian (Lux #1),1567.73
The Communist Manifesto,1557.18
Harry Potter and the Chamber of Secrets (Harry Potter #2),1555.07
Two Summers,1544.52
Scarlet (The Lunar Chronicles #2),1537.135
The Epidemic (The Program 0.6),1523.4199999999998
Wild Swans,1514.98
On a Midnight Clear,1484.385
Princess Between Worlds (Wide-Awake Princess #5),1407.37
Sister Sable (The Mad Queen #1),1406.315
New Moon (Twilight #2),1356.73
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",1303.98
Every Heart a Doorway (Every Heart A Doorway #1),1282.88
The Children,1253.3400000000001
The Darkest Corners,1195.315
A Clash of Kings (A Song of Ice and Fire #2),1138.3449999999998
The Tipping Point: How Little Things Can Make a Big Difference,1057.11
An Abundance of Katherines,1055.0
